url,count
['http://bestony.club/poll/fca61e2b-b567-49c4-9acf-70e2c57fa6d0'],1
['http://strtbiz.site/poll/82d9d955-005c-476d-82f0-3e412d9809ee'],1
['http://myfrance.xyz/poll/73d50012-162f-4460-9fc1-013c51534a8d'],1
['http://195.58.38.73/GoOgle.sh;'],1
['http://myfrance.xyz/poll/4dae0b86-3554-4685-9aa5-35af797b49e2'],1
['http://143.110.156.240/x86;cat'],1
['http://45.130.138.70/sh;'],1
['http://myfrance.xyz/poll/215b2d9f-eca6-45d1-b331-c8cdddf66072'],1
['http://myfrance.xyz/poll/fa4d0770-7f64-4ddb-b369-10ecd04ebadf'],1
['http://strtbiz.site/poll/3c9c8ec6-76f4-4129-bc72-47b1b99e6bf0'],1
['http://strtbiz.site/poll/898ef5c4-1d5c-4d2f-b7c1-cd556b6cc952'],1
['http://bestony.club/poll/1eb9aace-aa0c-462a-a854-91902d82b99d'],1
['http://bestony.club/poll/fa48cb28-c165-4bce-aa1c-98333fe55e9f'],1
['http://myfrance.xyz/poll/2f3a2230-f8de-4fab-a297-2ca8b6bb405e'],1
['http://bestony.club/poll/83e60515-05bd-44d0-b600-b389cdafaba7'],1
['http://myfrance.xyz/poll/3983dab7-b179-48a1-961a-471ad2cae06b'],1
['http://strtbiz.site/poll/88877a07-acd1-4c0c-8698-a6b109891056'],1
['http://strtbiz.site/poll/29dbc438-f363-4c25-98ac-7e4b0dafd202'],1
